Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI >=40 kg/m²(morbid obesity)
Lao PDR,LAO,Men,2015,22.66914386,21.87959799,23.46131384,0.035919302,0.004939203,0.113510921,0.001227934
Latvia,LVA,Men,2015,27.10745356,26.0123117,28.20975237,0.218971968,0.053542119,0.00651835,0.011456795
Lebanon,LBN,Men,2015,28.01263058,26.96696485,29.06988862,0.277203715,0.070997995,0.011242358,0.015863908
Lesotho,LSO,Men,2015,22.74478919,22.14542233,23.34193377,0.045865112,0.008661177,0.116969222,0.002375489
Liberia,LBR,Men,2015,23.18944146,22.44452294,23.9172075,0.054623077,0.01079935,0.084226435,0.004974807
Libya,LBY,Men,2015,26.97740739,25.93145982,28.01809289,0.251712208,0.066224604,0.01831587,0.016539247
Lithuania,LTU,Men,2015,27.15383776,25.82321595,28.45134706,0.245193162,0.06028602,0.003417579,0.014028149
Luxembourg,LUX,Men,2015,27.20635551,26.09377004,28.30392263,0.247785975,0.066169489,0.003482167,0.014766169
Macedonia (TFYR),MKD,Men,2015,27.37197913,25.02705673,29.76587512,0.229079678,0.048166266,0.004850971,0.009878193
Madagascar,MDG,Men,2015,21.531647,19.86262969,23.16784479,0.029252432,0.004044448,0.141294056,0.001385599
Malawi,MWI,Men,2015,22.53632451,21.50279278,23.5608285,0.021870295,0.002241754,0.127641902,0.000651829
Malaysia,MYS,Men,2015,25.29432954,24.84134545,25.73476804,0.127737529,0.030429434,0.059176423,0.007640702
Maldives,MDV,Men,2015,24.68409528,23.74824895,25.64189526,0.056333758,0.008444593,0.098779203,0.002027437
Mali,MLI,Men,2015,22.93814775,21.3327956,24.55330648,0.044734399,0.009183703,0.106804685,0.00379502
Malta,MLT,Men,2015,27.93964227,25.89743516,29.98029426,0.295903329,0.079685927,0.003268632,0.022342052
Marshall Islands,MHL,Men,2015,29.0327298,27.4451634,30.57664254,0.491683288,0.219320765,0.001420121,0.083600855
Mauritania,MRT,Men,2015,23.3325681,21.59906349,25.03620936,0.065894744,0.011704186,0.095994588,0.005294698
Mauritius,MUS,Men,2015,24.63542765,23.58951809,25.64297977,0.05629049,0.0084452,0.087636781,0.001736041
